spread_window,zscore_window,entry_threshold,exit_threshold,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,num_trades,rank,pair_name,ticker1,ticker2
30,70,1.0,0.0,0.005867717444002483,0.002452077013652243,2.4393023207988525,-5.724763675302468e-05,0.8888888888888888,18,1,V_CMCSA,V,CMCSA
30,70,1.5,0.0,0.006697689778272761,0.0027982445020078295,2.1234923338044576,0.0,1.0,13,2,V_CMCSA,V,CMCSA
50,70,1.0,0.0,0.0025025246703815353,0.0010468073872407224,1.8612346895027612,-0.0002507813735495665,0.8333333333333334,18,3,V_CMCSA,V,CMCSA
30,70,1.5,0.5,0.003690193464174954,0.0015430782819896294,1.742172871246771,-0.00010854246444159528,0.9230769230769231,13,4,V_CMCSA,V,CMCSA
30,50,1.5,0.0,0.004562345308881777,0.0019072921176430668,1.670784930333708,-0.0005175633304598014,0.8571428571428571,14,5,V_CMCSA,V,CMCSA
50,70,1.5,0.0,0.0028021035548073995,0.0011720195266189393,1.597666049125662,-0.00022115073038666636,0.8181818181818182,11,6,V_CMCSA,V,CMCSA
30,70,2.0,0.0,0.004836804504569154,0.002021869260707021,1.5738937123473855,0.0,1.0,7,7,V_CMCSA,V,CMCSA
30,70,1.0,0.5,0.0021662486329277453,0.0009062313701522218,1.4896646905653226,-0.0002378928519977275,0.631578947368421,19,8,V_CMCSA,V,CMCSA
50,50,1.5,0.0,0.0022924178281633067,0.0009589780477765597,1.4657488567193249,-0.0002825534434940112,0.75,16,9,V_CMCSA,V,CMCSA
70,70,1.5,0.0,0.001764726069791941,0.0007383439270056691,1.4223169909845803,-0.00036111803327531236,0.9230769230769231,13,10,V_CMCSA,V,CMCSA
30,70,2.0,0.5,0.0028483916401131136,0.0011913641779379702,1.373105186187182,-0.00010860656045535931,0.8571428571428571,7,11,V_CMCSA,V,CMCSA
30,50,2.5,0.0,0.0030347469468713097,0.0012692402732603636,1.361360320255923,0.0,1.0,7,12,V_CMCSA,V,CMCSA
30,50,2.0,0.0,0.0022283841262289205,0.0009322084059901758,1.3179547471570254,-0.00026514795947721114,0.875,8,13,V_CMCSA,V,CMCSA
50,70,2.0,0.0,0.002003433658033755,0.0008381587403323287,1.2582776135522389,-0.00014480266041398863,0.8571428571428571,7,14,V_CMCSA,V,CMCSA
50,70,2.0,0.5,0.001247632342032157,0.0005220754088315349,1.1093711687553431,-0.00024304247432359262,0.75,8,15,V_CMCSA,V,CMCSA
30,70,2.5,0.0,0.003479648899471795,0.0014551265244877598,1.0972412754227632,0.0,1.0,4,16,V_CMCSA,V,CMCSA
70,70,2.5,0.0,0.0011674996796228515,0.0004885550314448484,1.0456519102611233,-0.0002446623455811641,0.8333333333333334,6,17,V_CMCSA,V,CMCSA
70,70,2.0,0.0,0.0009448199742787983,0.00039539746132444265,1.045475971596291,-0.0003094270146709596,0.875,8,18,V_CMCSA,V,CMCSA
30,70,2.5,0.5,0.0020980409300456813,0.0008777146425953397,0.9973433015276026,0.0,1.0,4,19,V_CMCSA,V,CMCSA
50,50,2.0,0.0,0.001756314532658871,0.0007348264174888985,0.9927695001114629,-0.00021951899100849652,0.6666666666666666,9,20,V_CMCSA,V,CMCSA
50,70,2.5,0.0,0.0017443347130464098,0.0007298167054492488,0.9919520985344621,-6.765645609033526e-05,0.75,4,21,V_CMCSA,V,CMCSA
50,70,1.5,0.5,0.001097885782472731,0.00045943350352040113,0.9826403623481376,-0.0003194729302230763,0.75,12,22,V_CMCSA,V,CMCSA
70,70,1.0,0.0,0.0008247797865481698,0.00034517391152855126,0.9204158296592576,-0.00038284743913549,0.7142857142857143,14,23,V_CMCSA,V,CMCSA
30,50,2.5,0.5,0.001488046967202099,0.000622634142340317,0.8681383824166448,-0.0003536972824645747,0.8571428571428571,7,24,V_CMCSA,V,CMCSA
30,70,2.0,1.0,0.0010352293749182717,0.0004332214901121567,0.8553809777720996,-0.00013437043726135267,0.42857142857142855,7,25,V_CMCSA,V,CMCSA
50,50,2.5,0.0,0.0016675957177361123,0.0006977252233468789,0.8274771150762068,-0.0001508232245276068,0.6666666666666666,6,26,V_CMCSA,V,CMCSA
30,50,1.5,0.5,0.002059778145923192,0.0008617169906444122,0.8252544256156304,-0.0008931816534572111,0.7857142857142857,14,27,V_CMCSA,V,CMCSA
30,70,2.5,1.0,0.0011381041735422331,0.0004762581756552198,0.7856798445526589,-8.132811273681e-05,0.75,4,28,V_CMCSA,V,CMCSA
50,70,2.5,0.5,0.000833252696407726,0.00034871900261612687,0.7824370663727326,-0.00016589626999993925,0.75,4,29,V_CMCSA,V,CMCSA
30,50,1.0,0.0,0.0014611541431421937,0.000611386321179852,0.772350212309806,-0.000784599216797029,0.6666666666666666,15,30,V_CMCSA,V,CMCSA
70,70,2.5,0.5,0.0005851167037565028,0.00024489092542312463,0.6572074544493063,-0.0002687961487346911,0.6666666666666666,6,31,V_CMCSA,V,CMCSA
50,50,2.0,0.5,0.000822897471786855,0.00034438634297573323,0.6208795331659929,-0.0003356179595422873,0.6,10,32,V_CMCSA,V,CMCSA
50,50,2.5,0.5,0.0008591318944829982,0.0003595468292516557,0.6108755201984075,-0.00019522654608590529,0.42857142857142855,7,33,V_CMCSA,V,CMCSA
50,50,1.0,0.0,0.0006936611073811946,0.00029031123547418325,0.5375546566135032,-0.0008077476069918714,0.6111111111111112,18,34,V_CMCSA,V,CMCSA
70,70,1.5,0.5,0.0004712662481304142,0.00019724722433234199,0.5126860453338011,-0.00038543052761067745,0.7692307692307693,13,35,V_CMCSA,V,CMCSA
30,30,1.5,0.0,0.0012181917036802041,0.000509760246030666,0.46059223221944445,-0.0008785108696691865,0.6,20,36,V_CMCSA,V,CMCSA
50,50,1.5,0.5,0.000539688767412008,0.00022588079514429538,0.43431996196929906,-0.0005961819546358375,0.6470588235294118,17,37,V_CMCSA,V,CMCSA
70,50,2.5,0.0,0.0002929614648909774,0.00012262458943368415,0.43125292036233476,-0.00021813369927724125,0.5714285714285714,7,38,V_CMCSA,V,CMCSA
70,70,2.0,0.5,0.0003002736192695738,0.00012568496353160263,0.40239793750206937,-0.00033357137706891776,0.75,8,39,V_CMCSA,V,CMCSA
30,50,2.0,0.5,0.0004861277646418603,0.0002034665935144453,0.32934633718761913,-0.0006407145171908536,0.625,8,40,V_CMCSA,V,CMCSA
50,70,2.5,1.0,0.0002505195080363774,0.00010486099517548197,0.27083561671725964,-0.0004360848450506455,0.5,4,41,V_CMCSA,V,CMCSA
70,50,1.5,0.0,0.00030328735449700614,0.00012694630582177346,0.24859417207755627,-0.0006045600464224526,0.6923076923076923,13,42,V_CMCSA,V,CMCSA
70,50,2.0,0.0,0.0001669857324595796,6.989761142395245e-05,0.22683959712481394,-0.00030997117056593066,0.6666666666666666,9,43,V_CMCSA,V,CMCSA
30,70,1.5,1.0,0.000248161774718028,0.00010387418008872551,0.20670205739239655,-0.0004523918488757727,0.46153846153846156,13,44,V_CMCSA,V,CMCSA
50,70,1.0,0.5,9.578825981792761e-05,4.0096294613434225e-05,0.08743667894173225,-0.0005109696368541341,0.5789473684210527,19,45,V_CMCSA,V,CMCSA
50,70,2.0,1.0,5.67997617815854e-05,2.3776251888874e-05,0.06557499714782747,-0.00041276416386594065,0.625,8,46,V_CMCSA,V,CMCSA
30,30,2.5,0.0,7.553644302330213e-05,3.1619212091049675e-05,0.042698752094271444,-0.0010179909440717976,0.375,8,47,V_CMCSA,V,CMCSA
70,70,2.5,1.0,-1.6411274395068175e-07,-6.869836122191941e-08,-4.701177213766501e-05,-0.0002923272385990994,0.6666666666666666,6,48,V_CMCSA,V,CMCSA
70,50,1.0,0.0,-5.035805805338896e-05,-2.1080425924080437e-05,-0.042604067147317806,-0.0007762503204919651,0.6875,16,49,V_CMCSA,V,CMCSA
30,30,1.0,0.0,-0.0003884519136075687,-0.00016262614355655458,-0.14005662938283994,-0.0011338928322541055,0.45454545454545453,22,50,V_CMCSA,V,CMCSA
70,50,2.5,0.5,-0.0001296898733227863,-5.429083103825061e-05,-0.19432829579802877,-0.0004230423158156397,0.5714285714285714,7,51,V_CMCSA,V,CMCSA
50,30,2.5,0.0,-0.0003106531263269426,-0.00013005258898901584,-0.3214087390612516,-0.0007498025850812223,0.5555555555555556,9,52,V_CMCSA,V,CMCSA
50,50,2.5,1.0,-0.0005416860431610257,-0.00022678801331144083,-0.3762611654667787,-0.0006709613834883465,0.42857142857142855,7,53,V_CMCSA,V,CMCSA
30,50,1.0,0.5,-0.0008597838804924686,-0.0003599995269322198,-0.384051828057496,-0.001296093960692455,0.5,16,54,V_CMCSA,V,CMCSA
70,50,2.0,0.5,-0.0002965916974833817,-0.0001241653701676837,-0.3944335132874964,-0.0005056503052380622,0.6666666666666666,9,55,V_CMCSA,V,CMCSA
70,70,1.0,0.5,-0.00040747625378629893,-0.00017059166401245385,-0.4197380877606725,-0.0004300115285051288,0.6666666666666666,15,56,V_CMCSA,V,CMCSA
70,30,2.5,0.0,-0.00048658725548593793,-0.0002037165073147662,-0.43378443385851206,-0.0007588757257344353,0.6,10,57,V_CMCSA,V,CMCSA
70,70,2.0,1.0,-0.00036588860911026134,-0.0001531789675602857,-0.47562237183968353,-0.0004542106309879136,0.625,8,58,V_CMCSA,V,CMCSA
50,50,2.0,1.0,-0.0008134589151694672,-0.0003405982423924092,-0.5143072574371996,-0.0009630971952423425,0.5,10,59,V_CMCSA,V,CMCSA
30,50,2.5,1.0,-0.0007895520599921292,-0.00033058605524249884,-0.5196245814766215,-0.0007895520599921292,0.42857142857142855,7,60,V_CMCSA,V,CMCSA
50,70,1.5,1.0,-0.0006129339865494694,-0.00025662274890625447,-0.5289044733072674,-0.0010450967238166777,0.5,12,61,V_CMCSA,V,CMCSA
70,50,1.5,0.5,-0.0006911576035103644,-0.000289379938632206,-0.6369305843396925,-0.0010433599379696685,0.6153846153846154,13,62,V_CMCSA,V,CMCSA
50,30,1.5,0.0,-0.001414402873734798,-0.0005923192431919189,-0.692670078057032,-0.002226435615375028,0.47368421052631576,19,63,V_CMCSA,V,CMCSA
30,50,1.5,1.0,-0.0018906428214478365,-0.000791867288070125,-0.7092841875074447,-0.0022737659803736755,0.35714285714285715,14,64,V_CMCSA,V,CMCSA
50,30,2.0,0.0,-0.0010386928124922268,-0.00043493300080610364,-0.7120940112180807,-0.0015603023355995106,0.42857142857142855,14,65,V_CMCSA,V,CMCSA
30,30,2.0,0.0,-0.0013416826889546063,-0.0005618538200374834,-0.7919447793054718,-0.0014357533622498223,0.45454545454545453,11,66,V_CMCSA,V,CMCSA
70,30,1.5,0.0,-0.0014012493109957723,-0.000586808588829868,-0.8078029924162791,-0.002102940377909979,0.375,16,67,V_CMCSA,V,CMCSA
30,30,2.5,0.5,-0.0018978532629866094,-0.000794888941523908,-0.8149721829310206,-0.0020344648010562003,0.375,8,68,V_CMCSA,V,CMCSA
70,70,1.5,1.0,-0.0008271818337544392,-0.0003463454614341943,-0.8317840503780177,-0.0008271818337544392,0.5384615384615384,13,69,V_CMCSA,V,CMCSA
70,50,2.5,1.0,-0.0007572989503035206,-0.0003170786787204394,-0.8383977417265998,-0.0007646243137868729,0.42857142857142855,7,70,V_CMCSA,V,CMCSA
70,30,2.5,0.5,-0.0013166318807452627,-0.000551359323158862,-0.8819787473701679,-0.0015438102921549722,0.5,10,71,V_CMCSA,V,CMCSA
50,50,1.0,0.5,-0.0013319641672933358,-0.0005577824364089157,-0.8983726297596955,-0.0016060539313362083,0.47368421052631576,19,72,V_CMCSA,V,CMCSA
30,30,1.5,0.5,-0.0026522876797012577,-0.0011111171836282185,-0.908012785090648,-0.0029119458067101154,0.45,20,73,V_CMCSA,V,CMCSA
70,50,1.0,0.5,-0.0011647412335354602,-0.00048773128301138335,-0.9163662839743405,-0.0012712696651020561,0.47058823529411764,17,74,V_CMCSA,V,CMCSA
30,50,2.0,1.0,-0.0019343709081564157,-0.0008101924528828297,-0.9258228111350804,-0.0019343709081564157,0.25,8,75,V_CMCSA,V,CMCSA
50,30,2.5,0.5,-0.0016153603719713282,-0.0006765151654478663,-0.9379653303082963,-0.0016482780390704333,0.3333333333333333,9,76,V_CMCSA,V,CMCSA
70,50,2.0,1.0,-0.0010044077375048074,-0.0004205725781177838,-0.9723196564379899,-0.0010580168307856507,0.3333333333333333,9,77,V_CMCSA,V,CMCSA
70,30,2.0,0.0,-0.0012934951525156793,-0.0005416668248396928,-1.0193613488832183,-0.0013384705977718054,0.5384615384615384,13,78,V_CMCSA,V,CMCSA
50,50,1.5,1.0,-0.001959186111791496,-0.0008205919880376333,-1.0366849935007516,-0.0021198909182562793,0.47058823529411764,17,79,V_CMCSA,V,CMCSA
50,30,2.5,1.0,-0.0023330850790752445,-0.0009773034608222542,-1.0388785142362849,-0.0023330850790752445,0.3333333333333333,9,80,V_CMCSA,V,CMCSA
50,30,1.0,0.0,-0.0023735339844918055,-0.000994258770513512,-1.0782297348149714,-0.0027696504913470843,0.5,22,81,V_CMCSA,V,CMCSA
70,30,2.5,1.0,-0.0020471637995386847,-0.0008574628164753628,-1.135736391801579,-0.002178444837299391,0.3,10,82,V_CMCSA,V,CMCSA
70,30,1.0,0.0,-0.002188062233860837,-0.0009165162936165538,-1.2406545363750594,-0.002430739808866527,0.3684210526315789,19,83,V_CMCSA,V,CMCSA
70,30,2.0,0.5,-0.0021842759203231253,-0.0009149293071298858,-1.3037670992267594,-0.0021972226989710637,0.38461538461538464,13,84,V_CMCSA,V,CMCSA
50,70,1.0,1.0,-0.002092843278099317,-0.000876607509111671,-1.3172366952184105,-0.002092843278099317,0.5909090909090909,22,85,V_CMCSA,V,CMCSA
70,30,1.5,0.5,-0.002578938707877969,-0.0010803661740014237,-1.3192630976225979,-0.00280717502116805,0.35294117647058826,17,86,V_CMCSA,V,CMCSA
70,70,1.0,1.0,-0.0018379214590761694,-0.0007697739245465796,-1.3650210288212654,-0.0018585590025149577,0.47368421052631576,19,87,V_CMCSA,V,CMCSA
30,30,2.5,1.0,-0.004861677817354503,-0.0020380045335016694,-1.3662192825739938,-0.004919687189813672,0.3,10,88,V_CMCSA,V,CMCSA
50,30,2.0,0.5,-0.003089633750859939,-0.0012944985621633487,-1.373749913581844,-0.003089633750859939,0.35714285714285715,14,89,V_CMCSA,V,CMCSA
70,50,1.5,1.0,-0.0019207149446968106,-0.0008044695870601526,-1.4065639151178115,-0.0019207149446968106,0.3076923076923077,13,90,V_CMCSA,V,CMCSA
70,30,2.0,1.0,-0.0029042634000832914,-0.0012167661440636302,-1.4369056948272954,-0.0029495061663056548,0.07142857142857142,14,91,V_CMCSA,V,CMCSA
30,30,1.0,0.5,-0.005343801361810329,-0.0022404248585939923,-1.4498832685832144,-0.005343801361810329,0.2727272727272727,22,92,V_CMCSA,V,CMCSA
30,50,1.0,1.0,-0.004766743579235626,-0.0019981529642699725,-1.4585992378983905,-0.005028324308360025,0.3157894736842105,19,93,V_CMCSA,V,CMCSA
50,30,1.5,0.5,-0.004075307843798073,-0.001707968171973051,-1.4690542313255273,-0.004303201748261874,0.47368421052631576,19,94,V_CMCSA,V,CMCSA
30,30,2.0,0.5,-0.003604808347487851,-0.0015105738369173283,-1.4865809069395914,-0.003604808347487851,0.2727272727272727,11,95,V_CMCSA,V,CMCSA
50,30,2.0,1.0,-0.0043892299598729005,-0.0018397018648290686,-1.4957247469872068,-0.0043892299598729005,0.2857142857142857,14,96,V_CMCSA,V,CMCSA
70,50,1.0,1.0,-0.0026920107921597084,-0.0011277713512527487,-1.5794666501410088,-0.0027118419627679396,0.42857142857142855,21,97,V_CMCSA,V,CMCSA
30,70,1.0,1.0,-0.002464896108072426,-0.0010325572753311363,-1.5887213527036066,-0.002464896108072426,0.3181818181818182,22,98,V_CMCSA,V,CMCSA
70,30,1.5,1.0,-0.0036075794913021674,-0.0015117362896764908,-1.5988360294562256,-0.0036645315225618835,0.2,20,99,V_CMCSA,V,CMCSA
50,50,1.0,1.0,-0.0038726025346633103,-0.0016229181199057807,-1.6053759986922216,-0.0038726025346633103,0.45454545454545453,22,100,V_CMCSA,V,CMCSA
70,30,1.0,0.5,-0.0035440221044853388,-0.0014850754036277447,-1.6563680492483845,-0.0035440221044853388,0.23809523809523808,21,101,V_CMCSA,V,CMCSA
50,30,1.5,1.0,-0.00578707562180105,-0.0024265845912777584,-1.670185120857509,-0.005876374730192765,0.38095238095238093,21,102,V_CMCSA,V,CMCSA
50,30,1.0,0.5,-0.005124710158613161,-0.002148432004203338,-1.6803548488117859,-0.005124710158613161,0.3333333333333333,24,103,V_CMCSA,V,CMCSA
30,30,2.0,1.0,-0.006709788765225676,-0.0028142467676223193,-1.6972549421352654,-0.006727125375102347,0.14285714285714285,14,104,V_CMCSA,V,CMCSA
30,30,1.5,1.0,-0.007898219304941013,-0.0033138541909721875,-1.7876884428224562,-0.007898219304941013,0.2608695652173913,23,105,V_CMCSA,V,CMCSA
50,30,1.0,1.0,-0.007155743332175334,-0.0030016820159766144,-1.878642238090188,-0.007245042440567049,0.2962962962962963,27,106,V_CMCSA,V,CMCSA
70,30,1.0,1.0,-0.004859330405891814,-0.002037019108618754,-1.9215018509044086,-0.004859330405891814,0.3333333333333333,27,107,V_CMCSA,V,CMCSA
30,30,1.0,1.0,-0.01123607105343297,-0.0047189262099851526,-2.100423774499259,-0.01123607105343297,0.24,25,108,V_CMCSA,V,CMCSA
30,70,2.0,0.0,0.009824467345935117,0.004100882882594581,1.8495684063518512,0.0,1.0,11,1,MA_PPG,MA,PPG
30,50,2.0,0.0,0.007712080107784859,0.0032211043785439486,1.765944506896406,-0.00034996270043515724,0.8461538461538461,13,2,MA_PPG,MA,PPG
30,70,2.0,0.5,0.007523278956991271,0.003142419272101238,1.6877291118438227,-0.0006230015515802957,0.8333333333333334,12,3,MA_PPG,MA,PPG
30,70,1.5,0.0,0.005833598001540959,0.0024378428154829823,1.6449497429204003,-0.0003184668597670027,0.9166666666666666,12,4,MA_PPG,MA,PPG
50,70,2.0,0.0,0.004669403724669391,0.001951987437582181,1.5734826073899126,-3.059187374833831e-05,0.8888888888888888,9,5,MA_PPG,MA,PPG
30,70,1.0,0.0,0.004151134695982764,0.0017355919601003134,1.5644162934260943,-0.00042575265411416745,0.7857142857142857,14,6,MA_PPG,MA,PPG
30,50,1.5,0.0,0.005131325256303244,0.0021448011671034717,1.4625159969607597,-0.0009016232834020695,0.8125,16,7,MA_PPG,MA,PPG
70,70,2.0,0.0,0.004080243410477269,0.0017059873165994333,1.428610618762464,-0.00010003785883427033,0.875,8,8,MA_PPG,MA,PPG
50,70,2.5,0.0,0.004207544437059114,0.0017591481520788932,1.4116042191082572,0.0,1.0,6,9,MA_PPG,MA,PPG
30,50,2.5,0.0,0.006126984792508738,0.0025602308895462667,1.3553621118801995,-0.00027179225687099147,0.875,8,10,MA_PPG,MA,PPG
50,70,2.5,0.5,0.0027498128965606156,0.0011501656639834046,1.288255202780809,-6.376366039272051e-06,0.8333333333333334,6,11,MA_PPG,MA,PPG
30,70,2.5,0.0,0.005743137807194871,0.002400102612164723,1.2387002080517235,0.0,1.0,5,12,MA_PPG,MA,PPG
50,70,2.0,0.5,0.0027160514619787865,0.0011360553776613713,1.2049116323963813,-0.00034334625826901383,0.6666666666666666,9,13,MA_PPG,MA,PPG
