ticker1,ticker2,t_stat,p_value,correlation,half_life,cointegrated,rank
V,CMCSA,-4.70906032502037,0.00054393863963561,0.8789238902266693,9.786293254152278,True,2
MA,PPG,-4.46743154649851,0.0013845930449840774,0.8497618348072223,10.89526107534423,True,3
MA,LRCX,-4.056543734390002,0.005954683788853292,0.8039875876865448,12.982669828213892,True,10
TMO,AMD,-3.9249199150405296,0.009161324466843456,0.9471403474666561,13.158705136525807,True,12
SBUX,CMCSA,-3.9121524731257464,0.009542973387262831,0.9415456244594028,13.483600326114049,True,13
MA,CMCSA,-3.958222861259385,0.008229408231245372,0.8204320294356078,13.491825643936465,True,14
BKNG,LRCX,-4.134759843518881,0.004570442972908788,0.8779903037183129,13.89688979075987,True,17
BKNG,AMAT,-4.03574735619062,0.006381832554400675,0.8828904092532729,14.249212309422951,True,19
MCD,NVDA,-3.9860445973727012,0.007517199973133409,0.8911975417546746,19.682934409556392,True,81
UAL,LUV,-4.734362716698038,0.0004917054388921714,0.7948501401380439,25.360158290976305,True,152
UAL,CMCSA,-3.9555028320994197,0.00830219605960782,0.38834458624315576,28.337968596609016,True,189
UAL,GM,-3.963035856935658,0.008102017445484395,0.3883057960497324,29.399486796816234,True,197
UAL,EXPE,-4.382378055963245,0.0018986070526036923,0.38768087684317076,29.96015980436938,True,204
UAL,DIS,-4.00145783295057,0.007147011652698345,0.45609266925021535,30.64276678982597,True,209
UAL,BKNG,-4.013397551777302,0.0068716475113583825,0.47928783905925554,32.464342379325764,True,232
