spread_window,zscore_window,entry_threshold,exit_threshold,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,num_trades,rank,pair_name,ticker1,ticker2
30,70,1.0,0.0,-36717364269764.73,,2.4392035140271533,-83538524857.3418,0.16666666666666666,18,1,V_CMCSA,V,CMCSA
30,70,1.5,0.0,13965581913950.271,318113.05121447257,2.122721164985978,0.0,1.0,13,2,V_CMCSA,V,CMCSA
50,70,1.0,0.0,27741632558.74054,23524.758485436436,1.8614603186613032,-284664.3065771145,0.5,18,3,V_CMCSA,V,CMCSA
30,70,1.5,0.5,-2037795624.2123632,,1.7417855566073406,-747.626533726717,0.6923076923076923,13,4,V_CMCSA,V,CMCSA
30,50,1.5,0.0,587009422325.6183,84412.04470304937,1.6698497492847466,-2264.70303616423,0.6428571428571429,14,5,V_CMCSA,V,CMCSA
50,70,1.5,0.0,-83091213.87361783,,1.5976322825854388,-1421328.6962147772,0.2727272727272727,11,6,V_CMCSA,V,CMCSA
30,70,2.0,0.0,88741337.77346398,2122.84345132829,1.5736727092365144,0.0,1.0,7,7,V_CMCSA,V,CMCSA
30,70,1.0,0.5,-449326699.5150011,,1.489548104297965,-54.031601216365694,0.631578947368421,19,8,V_CMCSA,V,CMCSA
50,50,1.5,0.0,-1321311252.5016303,,1.4654322920559095,-47535.07622234134,0.5,16,9,V_CMCSA,V,CMCSA
70,70,1.5,0.0,-136490062.30147478,,1.4224889169614083,-707948.565894321,0.23076923076923078,13,10,V_CMCSA,V,CMCSA
30,70,2.0,0.5,-973731.1502646578,,1.3731014073708738,-160.78875098179734,0.5714285714285714,7,11,V_CMCSA,V,CMCSA
30,50,2.5,0.0,980400.6638255862,321.1288320607361,1.3609724728958503,0.0,1.0,7,12,V_CMCSA,V,CMCSA
30,50,2.0,0.0,-4983866.745230395,,1.3175224803621353,-5.316134841257017,0.875,8,13,V_CMCSA,V,CMCSA
50,70,2.0,0.0,-172943.1444320879,,1.258307728944919,-172943.1444320879,0.0,7,14,V_CMCSA,V,CMCSA
50,70,2.0,0.5,-68334.91800053476,,1.1094685848595556,-68334.91800053476,0.125,8,15,V_CMCSA,V,CMCSA
30,70,2.5,0.0,60016.96924269346,99.04854459285075,1.0969108485056545,0.0,1.0,4,16,V_CMCSA,V,CMCSA
70,70,2.5,0.0,-36711.37572828877,,1.0457562067218635,-36711.37572828877,0.0,6,17,V_CMCSA,V,CMCSA
